Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0987133	0	0	0	LastDelay	0.0987133	98713.3	1	3
0.0987133	0	0	0	FullDelay	0.0987133	98713.3	1	3
1.10341	0	0	1	LastDelay	0.103405	103405	1	3
1.10341	0	0	1	FullDelay	0.103405	103405	1	3
2.10294	0	0	2	LastDelay	0.102939	102939	1	3
2.10294	0	0	2	FullDelay	0.102939	102939	1	3
3.10252	0	0	3	LastDelay	0.102523	102523	1	3
3.10252	0	0	3	FullDelay	0.102523	102523	1	3
4.1022	0	0	4	LastDelay	0.102203	102203	1	3
4.1022	0	0	4	FullDelay	0.102203	102203	1	3
5.10176	0	0	5	LastDelay	0.101765	101765	1	3
5.10176	0	0	5	FullDelay	0.101765	101765	1	3
6.10147	0	0	6	LastDelay	0.101471	101471	1	3
6.10147	0	0	6	FullDelay	0.101471	101471	1	3
7.10077	0	0	7	LastDelay	0.100768	100768	1	3
7.10077	0	0	7	FullDelay	0.100768	100768	1	3
8.09867	0	0	8	LastDelay	0.0986691	98669.1	1	3
8.09867	0	0	8	FullDelay	0.0986691	98669.1	1	3
9.09862	0	0	9	LastDelay	0.0986208	98620.8	1	3
9.09862	0	0	9	FullDelay	0.0986208	98620.8	1	3
