Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0495744	2	0	0	LastDelay	0.0495744	49574.4	1	2
0.0495744	2	0	0	FullDelay	0.0495744	49574.4	1	2
1.0495	2	0	1	LastDelay	0.0495009	49500.9	1	2
1.0495	2	0	1	FullDelay	0.0495009	49500.9	1	2
2.04943	2	0	2	LastDelay	0.0494302	49430.2	1	2
2.04943	2	0	2	FullDelay	0.0494302	49430.2	1	2
3.04944	2	0	3	LastDelay	0.0494363	49436.3	1	2
3.04944	2	0	3	FullDelay	0.0494363	49436.3	1	2
4.04953	2	0	4	LastDelay	0.0495286	49528.6	1	2
4.04953	2	0	4	FullDelay	0.0495286	49528.6	1	2
5.04945	2	0	5	LastDelay	0.0494504	49450.4	1	2
5.04945	2	0	5	FullDelay	0.0494504	49450.4	1	2
6.04949	2	0	6	LastDelay	0.0494913	49491.3	1	2
6.04949	2	0	6	FullDelay	0.0494913	49491.3	1	2
7.04945	2	0	7	LastDelay	0.0494499	49449.9	1	2
7.04945	2	0	7	FullDelay	0.0494499	49449.9	1	2
8.04949	2	0	8	LastDelay	0.0494909	49490.9	1	2
8.04949	2	0	8	FullDelay	0.0494909	49490.9	1	2
9.04945	2	0	9	LastDelay	0.0494526	49452.6	1	2
9.04945	2	0	9	FullDelay	0.0494526	49452.6	1	2
